,Location,Accident_Type,Accident_Count,Year_Column,Date,Accident_Category
2760,On motorways/freeways,Total,14001,2018,2018-12-01,Total
2761,On motorways/freeways,Total,14387,2024,2024-05-01,Total
2762,Total,Other accidents involving intoxication,1204,2015,2015-06-01,Intoxication
2763,Total,Other accidents involving material damage,182028,2021,2021-09-01,Other Material Damage
2764,On motorways/freeways,Total,9083,2020,2020-03-01,Total
2765,On motorways/freeways,Total,10335,2022,2022-02-01,Total
2766,Inside built-up areas,Other accidents involving intoxication,1117,2017,2017-09-01,Intoxication
2767,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3359,2019,2019-05-01,Material Damage
2768,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,141,2011,2011-05-01,Intoxication
2769,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7035,2024,2024-07-01,Personal Injury
2770,Total,Other accidents involving material damage,153139,2022,2022-01-01,Other Material Damage
2771,On motorways/freeways,Other accidents involving intoxication,93,2024,2024-11-01,Intoxication
2772,On motorways/freeways,Other accidents involving intoxication,79,2024,2024-09-01,Intoxication
2773,Inside built-up areas,Total,146060,2012,2012-03-01,Total
2774,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,143,2016,2016-02-01,Intoxication
2775,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1716,2019,2019-11-01,Material Damage
2776,On motorways/freeways,Other accidents involving material damage,11942,2016,2016-05-01,Other Material Damage
2777,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7120,2014,2014-06-01,Personal Injury
2778,Total,Personal injury accidents,15792,2020,2020-12-01,Personal Injury
2779,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,140,2015,2015-04-01,Intoxication
2780,Total,Total,203968,2011,2011-09-01,Total
2781,Total,Other accidents involving intoxication,1354,2012,2012-10-01,Intoxication
2782,Inside built-up areas,Other accidents involving material damage,137984,2023,2023-03-01,Other Material Damage
2783,Inside built-up areas,Other accidents involving material damage,134080,2015,2015-06-01,Other Material Damage
2784,Total,Total,225839,2018,2018-04-01,Total
2785,Total,Other accidents involving intoxication,1046,2020,2020-03-01,Intoxication
2786,Inside built-up areas,Personal injury accidents,16852,2014,2014-03-01,Personal Injury
2787,Total,Other accidents involving intoxication,1120,2015,2015-04-01,Intoxication
2788,On motorways/freeways,Other accidents involving material damage,13035,2017,2017-10-01,Other Material Damage
2789,On motorways/freeways,Other accidents involving intoxication,72,2024,2024-07-01,Intoxication
2790,Inside built-up areas,Other accidents involving material damage,124726,2013,2013-05-01,Other Material Damage
2791,Total,Personal injury accidents,28817,2012,2012-07-01,Personal Injury
2792,On motorways/freeways,Other accidents involving material damage,12876,2019,2019-11-01,Other Material Damage
2793,Inside built-up areas,Personal injury accidents,20301,2022,2022-07-01,Personal Injury
2794,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1900,2013,2013-11-01,Material Damage
2795,Total,Other accidents involving material damage,161777,2016,2016-02-01,Other Material Damage
2796,On motorways/freeways,Other accidents involving intoxication,69,2018,2018-08-01,Intoxication
2797,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6597,2012,2012-10-01,Personal Injury
2798,Inside built-up areas,Other accidents involving material damage,137608,2023,2023-09-01,Other Material Damage
2799,On motorways/freeways,Other accidents involving material damage,11035,2012,2012-11-01,Other Material Damage
2800,Total,Other accidents involving material damage,170148,2013,2013-05-01,Other Material Damage
2801,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,123,2015,2015-02-01,Intoxication
2802,Inside built-up areas,Other accidents involving intoxication,1158,2016,2016-09-01,Intoxication
2803,Total,Total,200165,2014,2014-04-01,Total
2804,Total,Total,217100,2014,2014-10-01,Total
2805,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,162,2020,2020-08-01,Intoxication
2806,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1610,2015,2015-10-01,Material Damage
2807,On motorways/freeways,Personal injury accidents,1791,2019,2019-10-01,Personal Injury
2808,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1169,2022,2022-12-01,Material Damage
2809,Inside built-up areas,Other accidents involving intoxication,1204,2012,2012-09-01,Intoxication
2810,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2847,2021,2021-06-01,Material Damage
2811,Total,Other accidents involving intoxication,1248,2018,2018-03-01,Intoxication
2812,On motorways/freeways,Other accidents involving intoxication,57,2015,2015-06-01,Intoxication
2813,Inside built-up areas,Personal injury accidents,18901,2018,2018-04-01,Personal Injury
2814,Inside built-up areas,Total,155409,2012,2012-10-01,Total
2815,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,893,2019,2019-03-01,Material Damage
2816,Inside built-up areas,Other accidents involving intoxication,1151,2013,2013-10-01,Intoxication
2817,Inside built-up areas,Total,121141,2021,2021-04-01,Total
2818,On motorways/freeways,Other accidents involving intoxication,83,2022,2022-01-01,Intoxication
2819,Outside built-up areas (excl. motorways/freeways),Total,40038,2016,2016-06-01,Total
2820,Total,Personal injury accidents,24705,2017,2017-11-01,Personal Injury
2821,Inside built-up areas,Personal injury accidents,8384,2021,2021-02-01,Personal Injury
2822,Inside built-up areas,Other accidents involving intoxication,1174,2016,2016-10-01,Intoxication
2823,On motorways/freeways,Other accidents involving material damage,9845,2011,2011-04-01,Other Material Damage
2824,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,192,2023,2023-08-01,Intoxication
2825,On motorways/freeways,Total,14340,2017,2017-03-01,Total
2826,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,869,2022,2022-01-01,Material Damage
2827,Total,Personal injury accidents,23589,2011,2011-11-01,Personal Injury
2828,Total,Serious acc. invol. mat.damage in the nearer sense,7049,2011,2011-11-01,Material Damage
2829,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,27803,2014,2014-03-01,Other Material Damage
2830,On motorways/freeways,Other accidents involving material damage,8450,2021,2021-04-01,Other Material Damage
2831,Inside built-up areas,Total,149692,2023,2023-07-01,Total
2832,On motorways/freeways,Other accidents involving material damage,11510,2024,2024-09-01,Other Material Damage
2833,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,32957,2017,2017-08-01,Other Material Damage
2834,Total,Serious acc. invol. mat.damage in the nearer sense,4550,2022,2022-08-01,Material Damage
2835,Outside built-up areas (excl. motorways/freeways),Total,44664,2024,2024-04-01,Total
2836,Total,Total,221978,2017,2017-07-01,Total
2837,Inside built-up areas,Other accidents involving material damage,146873,2018,2018-11-01,Other Material Damage
2838,Inside built-up areas,Other accidents involving material damage,112796,2014,2014-02-01,Other Material Damage
2839,Total,Serious acc. invol. mat.damage in the nearer sense,5743,2022,2022-01-01,Material Damage
2840,On motorways/freeways,Other accidents involving material damage,12687,2017,2017-09-01,Other Material Damage
2841,Total,Other accidents involving material damage,173852,2021,2021-07-01,Other Material Damage
2842,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1316,2015,2015-07-01,Material Damage
2843,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1280,2021,2021-09-01,Material Damage
2844,Outside built-up areas (excl. motorways/freeways),Total,34838,2014,2014-03-01,Total
2845,Total,Personal injury accidents,22381,2020,2020-05-01,Personal Injury
2846,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7711,2018,2018-07-01,Personal Injury
2847,On motorways/freeways,Other accidents involving material damage,7334,2021,2021-02-01,Other Material Damage
2848,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,30711,2014,2014-01-01,Other Material Damage
2849,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6238,2020,2020-06-01,Personal Injury
2850,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1116,2022,2022-06-01,Material Damage
2851,On motorways/freeways,Personal injury accidents,1727,2014,2014-10-01,Personal Injury
2852,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,746,2015,2015-02-01,Material Damage
2853,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5201,2021,2021-05-01,Personal Injury
2854,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1215,2019,2019-08-01,Material Damage
2855,On motorways/freeways,Other accidents involving material damage,11998,2018,2018-06-01,Other Material Damage
2856,Total,Other accidents involving material damage,174662,2023,2023-04-01,Other Material Damage
2857,Outside built-up areas (excl. motorways/freeways),Total,39649,2013,2013-07-01,Total
2858,On motorways/freeways,Other accidents involving material damage,10405,2011,2011-06-01,Other Material Damage
2859,On motorways/freeways,Other accidents involving material damage,11001,2022,2022-08-01,Other Material Damage
2860,Inside built-up areas,Other accidents involving intoxication,1030,2014,2014-03-01,Intoxication
2861,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,33056,2015,2015-07-01,Other Material Damage
2862,Total,Personal injury accidents,28841,2022,2022-08-01,Personal Injury
2863,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,30239,2016,2016-02-01,Other Material Damage
2864,Inside built-up areas,Total,158759,2015,2015-09-01,Total
2865,On motorways/freeways,Personal injury accidents,1314,2011,2011-03-01,Personal Injury
2866,Total,Serious acc. invol. mat.damage in the nearer sense,5204,2015,2015-06-01,Material Damage
2867,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1083,2022,2022-09-01,Material Damage
2868,Total,Other accidents involving material damage,197720,2017,2017-12-01,Other Material Damage
2869,On motorways/freeways,Personal injury accidents,1547,2020,2020-09-01,Personal Injury
2870,On motorways/freeways,Personal injury accidents,1774,2018,2018-08-01,Personal Injury
2871,Inside built-up areas,Total,160602,2016,2016-05-01,Total
2872,On motorways/freeways,Personal injury accidents,1452,2018,2018-02-01,Personal Injury
2873,On motorways/freeways,Other accidents involving material damage,10278,2016,2016-03-01,Other Material Damage
2874,Total,Total,191023,2022,2022-03-01,Total
2875,On motorways/freeways,Personal injury accidents,1367,2021,2021-11-01,Personal Injury
2876,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2911,2022,2022-03-01,Material Damage
2877,On motorways/freeways,Total,15105,2016,2016-07-01,Total
2878,Outside built-up areas (excl. motorways/freeways),Total,43292,2021,2021-05-01,Total
2879,Inside built-up areas,Other accidents involving intoxication,997,2024,2024-04-01,Intoxication
2880,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7274,2011,2011-08-01,Personal Injury
2881,Inside built-up areas,Other accidents involving material damage,137168,2023,2023-10-01,Other Material Damage
2882,Total,Total,196424,2015,2015-01-01,Total
2883,Outside built-up areas (excl. motorways/freeways),Total,39655,2023,2023-08-01,Total
2884,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1563,2016,2016-02-01,Material Damage
2885,Total,Other accidents involving material damage,155201,2023,2023-02-01,Other Material Damage
2886,Inside built-up areas,Total,144703,2020,2020-01-01,Total
2887,Total,Other accidents involving intoxication,1107,2014,2014-01-01,Intoxication
2888,Total,Serious acc. invol. mat.damage in the nearer sense,4749,2023,2023-04-01,Material Damage
2889,Total,Other accidents involving material damage,181900,2014,2014-10-01,Other Material Damage
2890,Inside built-up areas,Personal injury accidents,20541,2019,2019-07-01,Personal Injury
2891,On motorways/freeways,Other accidents involving material damage,12206,2018,2018-04-01,Other Material Damage
2892,Outside built-up areas (excl. motorways/freeways),Total,46641,2018,2018-11-01,Total
2893,On motorways/freeways,Other accidents involving intoxication,75,2023,2023-01-01,Intoxication
2894,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,36461,2024,2024-01-01,Other Material Damage
2895,Total,Serious acc. invol. mat.damage in the nearer sense,6207,2014,2014-10-01,Material Damage
2896,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3862,2016,2016-10-01,Material Damage
2897,Inside built-up areas,Personal injury accidents,19058,2011,2011-07-01,Personal Injury
2898,Inside built-up areas,Total,137900,2012,2012-01-01,Total
2899,Total,Serious acc. invol. mat.damage in the nearer sense,5192,2018,2018-05-01,Material Damage
2900,Total,Serious acc. invol. mat.damage in the nearer sense,6731,2021,2021-12-01,Material Damage
2901,Inside built-up areas,Total,153419,2013,2013-06-01,Total
2902,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,37314,2016,2016-04-01,Other Material Damage
2903,Total,Personal injury accidents,20062,2023,2023-04-01,Personal Injury
2904,On motorways/freeways,Other accidents involving intoxication,62,2020,2020-11-01,Intoxication
2905,Inside built-up areas,Other accidents involving intoxication,997,2020,2020-07-01,Intoxication
2906,Inside built-up areas,Other accidents involving material damage,118538,2012,2012-01-01,Other Material Damage
2907,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2657,2012,2012-12-01,Material Damage
2908,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3619,2012,2012-08-01,Material Damage
2909,Inside built-up areas,Personal injury accidents,21341,2015,2015-06-01,Personal Injury
2910,Inside built-up areas,Other accidents involving material damage,136588,2019,2019-01-01,Other Material Damage
2911,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3803,2012,2012-06-01,Material Damage
2912,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3105,2016,2016-07-01,Material Damage
2913,Inside built-up areas,Personal injury accidents,19436,2015,2015-08-01,Personal Injury
2914,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5974,2011,2011-11-01,Personal Injury
2915,Outside built-up areas (excl. motorways/freeways),Total,46049,2012,2012-11-01,Total
2916,Inside built-up areas,Personal injury accidents,22913,2011,2011-05-01,Personal Injury
2917,Total,Personal injury accidents,18599,2016,2016-02-01,Personal Injury
2918,On motorways/freeways,Other accidents involving intoxication,59,2021,2021-04-01,Intoxication
2919,On motorways/freeways,Other accidents involving intoxication,59,2011,2011-06-01,Intoxication
2920,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3204,2016,2016-09-01,Material Damage
2921,Inside built-up areas,Total,173250,2018,2018-10-01,Total
2922,On motorways/freeways,Total,12283,2014,2014-04-01,Total
2923,Inside built-up areas,Total,145056,2020,2020-08-01,Total
2924,Total,Total,225826,2021,2021-10-01,Total
2925,Inside built-up areas,Personal injury accidents,11563,2018,2018-02-01,Personal Injury
2926,On motorways/freeways,Other accidents involving intoxication,52,2019,2019-04-01,Intoxication
2927,Total,Serious acc. invol. mat.damage in the nearer sense,6557,2016,2016-10-01,Material Damage
2928,Inside built-up areas,Personal injury accidents,13288,2020,2020-11-01,Personal Injury
2929,Total,Personal injury accidents,25155,2015,2015-04-01,Personal Injury
2930,Outside built-up areas (excl. motorways/freeways),Total,38627,2011,2011-07-01,Total
2931,Inside built-up areas,Total,145788,2024,2024-01-01,Total
2932,Total,Personal injury accidents,26230,2013,2013-10-01,Personal Injury
2933,On motorways/freeways,Total,16818,2019,2019-10-01,Total
2934,Total,Total,0,2024,2024-12-01,Total
2935,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3930,2011,2011-09-01,Material Damage
2936,Inside built-up areas,Other accidents involving intoxication,1226,2012,2012-12-01,Intoxication
2937,Total,Personal injury accidents,16852,2023,2023-02-01,Personal Injury
2938,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,908,2019,2019-09-01,Material Damage
2939,Total,Total,214740,2014,2014-05-01,Total
2940,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3358,2024,2024-11-01,Material Damage
2941,Total,Serious acc. invol. mat.damage in the nearer sense,5233,2018,2018-04-01,Material Damage
2942,On motorways/freeways,Total,11087,2012,2012-04-01,Total
2943,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2137,2011,2011-01-01,Material Damage
2944,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1510,2017,2017-09-01,Material Damage
2945,On motorways/freeways,Other accidents involving intoxication,71,2019,2019-03-01,Intoxication
2946,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1136,2024,2024-08-01,Material Damage
2947,Inside built-up areas,Personal injury accidents,13826,2023,2023-04-01,Personal Injury
2948,Total,Other accidents involving material damage,152435,2015,2015-02-01,Other Material Damage
2949,On motorways/freeways,Total,14138,2023,2023-09-01,Total
2950,Inside built-up areas,Other accidents involving intoxication,995,2018,2018-03-01,Intoxication
2951,Inside built-up areas,Total,146059,2016,2016-03-01,Total
2952,Total,Total,213639,2012,2012-05-01,Total
2953,On motorways/freeways,Total,13408,2012,2012-11-01,Total
2954,Total,Total,203426,2011,2011-11-01,Total
2955,Inside built-up areas,Total,164241,2017,2017-09-01,Total
2956,Inside built-up areas,Other accidents involving intoxication,1136,2012,2012-11-01,Intoxication
2957,Inside built-up areas,Personal injury accidents,14816,2013,2013-12-01,Personal Injury
2958,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1434,2014,2014-05-01,Material Damage
2959,On motorways/freeways,Total,12451,2020,2020-02-01,Total
2960,On motorways/freeways,Personal injury accidents,1560,2012,2012-05-01,Personal Injury
2961,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7127,2018,2018-05-01,Personal Injury
2962,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1178,2021,2021-04-01,Material Damage
2963,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1016,2014,2014-08-01,Material Damage
2964,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,4104,2020,2020-03-01,Personal Injury
2965,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1318,2019,2019-06-01,Material Damage
2966,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,187,2012,2012-01-01,Intoxication
2967,On motorways/freeways,Total,10207,2022,2022-03-01,Total
2968,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1290,2024,2024-03-01,Material Damage
2969,On motorways/freeways,Other accidents involving intoxication,53,2019,2019-05-01,Intoxication
2970,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,707,2011,2011-04-01,Material Damage
2971,On motorways/freeways,Personal injury accidents,1857,2015,2015-09-01,Personal Injury
2972,On motorways/freeways,Personal injury accidents,1666,2022,2022-08-01,Personal Injury
2973,Inside built-up areas,Total,129960,2014,2014-02-01,Total
2974,On motorways/freeways,Total,13888,2019,2019-03-01,Total
2975,On motorways/freeways,Total,13526,2014,2014-05-01,Total
2976,Total,Serious acc. invol. mat.damage in the nearer sense,6201,2011,2011-05-01,Material Damage
2977,Inside built-up areas,Other accidents involving intoxication,687,2021,2021-04-01,Intoxication
2978,Inside built-up areas,Other accidents involving material damage,107930,2020,2020-05-01,Other Material Damage
2979,Total,Other accidents involving material damage,170242,2013,2013-07-01,Other Material Damage
2980,Inside built-up areas,Total,158365,2020,2020-09-01,Total
2981,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,950,2021,2021-07-01,Material Damage
2982,Total,Serious acc. invol. mat.damage in the nearer sense,6878,2024,2024-01-01,Material Damage
2983,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,32135,2012,2012-09-01,Other Material Damage
2984,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5050,2012,2012-02-01,Personal Injury
2985,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,199,2017,2017-10-01,Intoxication
2986,Inside built-up areas,Other accidents involving intoxication,995,2020,2020-06-01,Intoxication
2987,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3520,2019,2019-03-01,Material Damage
2988,Outside built-up areas (excl. motorways/freeways),Total,43582,2024,2024-10-01,Total
2989,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,150,2013,2013-09-01,Intoxication
2990,Total,Total,216372,2019,2019-03-01,Total
2991,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,2931,2021,2021-01-01,Material Damage
2992,Inside built-up areas,Personal injury accidents,21210,2018,2018-07-01,Personal Injury
2993,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,978,2011,2011-10-01,Material Damage
2994,Outside built-up areas (excl. motorways/freeways),Other accidents involving intoxication,152,2014,2014-07-01,Intoxication
2995,Inside built-up areas,Personal injury accidents,19872,2016,2016-05-01,Personal Injury
2996,On motorways/freeways,Total,14533,2021,2021-08-01,Total
2997,Inside built-up areas,Other accidents involving intoxication,711,2021,2021-03-01,Intoxication
2998,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1253,2017,2017-04-01,Material Damage
2999,Total,Total,198122,2024,2024-03-01,Total
3000,Inside built-up areas,Other accidents involving material damage,127058,2011,2011-11-01,Other Material Damage
3001,Total,Personal injury accidents,28813,2024,2024-08-01,Personal Injury
3002,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4474,2017,2017-01-01,Material Damage
3003,Inside built-up areas,Total,162654,2016,2016-10-01,Total
3004,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,38912,2023,2023-12-01,Other Material Damage
3005,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,29886,2012,2012-08-01,Other Material Damage
3006,Total,Serious acc. invol. mat.damage in the nearer sense,5940,2017,2017-09-01,Material Damage
3007,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3790,2021,2021-12-01,Material Damage
3008,Total,Other accidents involving material damage,194455,2015,2015-11-01,Other Material Damage
3009,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,40279,2023,2023-11-01,Other Material Damage
3010,Inside built-up areas,Other accidents involving material damage,133942,2011,2011-12-01,Other Material Damage
3011,Outside built-up areas (excl. motorways/freeways),Total,40396,2018,2018-06-01,Total
3012,Total,Serious acc. invol. mat.damage in the nearer sense,5408,2014,2014-02-01,Material Damage
3013,Total,Total,216642,2013,2013-11-01,Total
3014,On motorways/freeways,Other accidents involving intoxication,65,2021,2021-05-01,Intoxication
3015,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,4377,2017,2017-12-01,Material Damage
3016,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,34054,2022,2022-07-01,Other Material Damage
3017,Inside built-up areas,Total,165675,2023,2023-06-01,Total
3018,Total,Personal injury accidents,27480,2014,2014-09-01,Personal Injury
3019,On motorways/freeways,Total,10825,2017,2017-02-01,Total
3020,Inside built-up areas,Personal injury accidents,17292,2016,2016-11-01,Personal Injury
3021,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2841,2011,2011-12-01,Material Damage
3022,Inside built-up areas,Serious acc. invol. mat.damage in the nearer sense,3245,2017,2017-06-01,Material Damage
3023,On motorways/freeways,Total,13142,2014,2014-12-01,Total
3024,Total,Serious acc. invol. mat.damage in the nearer sense,4323,2021,2021-04-01,Material Damage
3025,On motorways/freeways,Other accidents involving intoxication,57,2013,2013-11-01,Intoxication
3026,On motorways/freeways,Total,13990,2024,2024-04-01,Total
3027,Total,Serious acc. invol. mat.damage in the nearer sense,9549,2011,2011-12-01,Material Damage
3028,Total,Total,197036,2020,2020-08-01,Total
3029,Outside built-up areas (excl. motorways/freeways),Total,38940,2013,2013-08-01,Total
3030,Total,Total,203827,2015,2015-08-01,Total
3031,Inside built-up areas,Other accidents involving intoxication,1047,2018,2018-04-01,Intoxication
3032,On motorways/freeways,Other accidents involving material damage,10952,2017,2017-01-01,Other Material Damage
3033,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1482,2021,2021-10-01,Material Damage
3034,Total,Personal injury accidents,30146,2017,2017-05-01,Personal Injury
3035,Inside built-up areas,Other accidents involving material damage,139429,2021,2021-10-01,Other Material Damage
3036,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7304,2012,2012-07-01,Personal Injury
3037,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6271,2013,2013-10-01,Personal Injury
3038,Outside built-up areas (excl. motorways/freeways),Total,38896,2022,2022-01-01,Total
3039,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,32855,2019,2019-08-01,Other Material Damage
3040,On motorways/freeways,Total,13621,2024,2024-11-01,Total
3041,On motorways/freeways,Other accidents involving material damage,11190,2024,2024-08-01,Other Material Damage
3042,On motorways/freeways,Other accidents involving material damage,10187,2014,2014-11-01,Other Material Damage
3043,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,36973,2019,2019-09-01,Other Material Damage
3044,Total,Personal injury accidents,31116,2019,2019-06-01,Personal Injury
3045,Inside built-up areas,Total,148271,2021,2021-12-01,Total
3046,Inside built-up areas,Personal injury accidents,10978,2022,2022-02-01,Personal Injury
3047,Outside built-up areas (excl. motorways/freeways),Total,42914,2014,2014-11-01,Total
3048,Total,Personal injury accidents,20481,2018,2018-01-01,Personal Injury
3049,On motorways/freeways,Other accidents involving material damage,10185,2021,2021-11-01,Other Material Damage
3050,Outside built-up areas (excl. motorways/freeways),Total,36553,2024,2024-03-01,Total
3051,On motorways/freeways,Other accidents involving intoxication,70,2018,2018-06-01,Intoxication
3052,Inside built-up areas,Other accidents involving material damage,141837,2017,2017-06-01,Other Material Damage
3053,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,2229,2013,2013-03-01,Material Damage
3054,Inside built-up areas,Other accidents involving intoxication,1139,2023,2023-09-01,Intoxication
3055,On motorways/freeways,Other accidents involving material damage,10398,2014,2014-12-01,Other Material Damage
3056,Total,Serious acc. invol. mat.damage in the nearer sense,8095,2012,2012-01-01,Material Damage
3057,Total,Total,163650,2011,2011-02-01,Total
3058,Outside built-up areas (excl. motorways/freeways),Other accidents involving material damage,38269,2012,2012-10-01,Other Material Damage
3059,Total,Serious acc. invol. mat.damage in the nearer sense,6019,2013,2013-06-01,Material Damage
3060,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,613,2014,2014-03-01,Material Damage
3061,Total,Personal injury accidents,21563,2017,2017-12-01,Personal Injury
3062,On motorways/freeways,Personal injury accidents,1233,2013,2013-02-01,Personal Injury
3063,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,934,2013,2013-06-01,Material Damage
3064,Inside built-up areas,Other accidents involving material damage,137895,2017,2017-07-01,Other Material Damage
3065,On motorways/freeways,Other accidents involving intoxication,70,2022,2022-03-01,Intoxication
3066,Total,Other accidents involving intoxication,1350,2018,2018-08-01,Intoxication
3067,Outside built-up areas (excl. motorways/freeways),Serious acc. invol. mat.damage in the nearer sense,1074,2023,2023-06-01,Material Damage
3068,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,5029,2016,2016-03-01,Personal Injury
3069,On motorways/freeways,Personal injury accidents,1626,2023,2023-05-01,Personal Injury
3070,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7801,2016,2016-08-01,Personal Injury
3071,Total,Personal injury accidents,29538,2012,2012-08-01,Personal Injury
3072,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,7211,2017,2017-08-01,Personal Injury
3073,Total,Other accidents involving material damage,147773,2022,2022-02-01,Other Material Damage
3074,Outside built-up areas (excl. motorways/freeways),Personal injury accidents,6783,2022,2022-05-01,Personal Injury
3075,Inside built-up areas,Other accidents involving intoxication,897,2019,2019-01-01,Intoxication
3076,Total,Other accidents involving material damage,168703,2015,2015-01-01,Other Material Damage
3077,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,835,2024,2024-06-01,Material Damage
3078,On motorways/freeways,Other accidents involving material damage,12673,2024,2024-10-01,Other Material Damage
3079,On motorways/freeways,Serious acc. invol. mat.damage in the nearer sense,1116,2017,2017-07-01,Material Damage
3080,Inside built-up areas,Other accidents involving material damage,116637,2023,2023-02-01,Other Material Damage
